balance,monthly_income,age,savings_goal,last_month_spending,num_transactions,avg_transaction,next_month_spending,spending_category
43708.61069626262,31107.97573031718,45,15884.999759936567,12377.350727414088,17,2898.876001418277,14791.84258104643,0
95564.28757689246,52514.05684270149,24,45998.091624532266,24475.967203890974,45,4330.814731167984,24773.341267836564,1
75879.45476302646,72376.7501525845,52,42721.94117955672,34977.26909669007,38,783.3061574052848,8084.978518677724,2
63879.26357773329,63933.49318457367,45,36922.23351893259,34227.3080909257,28,2889.1116693341955,19478.293325412244,2
24041.67763981929,68393.66887168698,31,47698.068012400865,37457.4313205204,44,4353.1001709814245,31255.629153411035,0
24039.506830258237,59527.00200264304,27,6413.9819680072815,17806.003334490815,36,2957.2182106715004,29269.02987001654,1
15227.525095137951,61536.59387107115,33,38129.01912773429,16131.735039282155,36,3618.2694728223073,39672.49580102626,1
87955.85311974416,70951.73909391915,33,19860.92507013824,31229.910209328304,34,1923.0134822798161,14726.18940957146,2
64100.351056888794,34980.08053155115,48,45772.964855886436,20088.934178395175,17,553.0026334816264,22436.625471089268,1
73726.5320016441,49365.497818588425,59,17000.383849788992,8064.2032409723215,5,2343.71144612265,16533.564482089885,0
11852.60448662222,33272.56650917613,42,37618.542469175765,14898.039573467491,38,2032.949015110402,20421.108992071117,2
97291.88669457949,79260.08047979881,30,44494.115884285166,19650.379993602117,19,4348.594893656842,34993.25454542859,2
84919.83767203796,76643.56038119679,23,6874.556827220709,15238.07489166882,48,1295.576981527114,28947.31763159703,0
29110.519961044854,22365.608682110353,61,22894.141081641625,16627.194983156256,18,4836.997714922029,35885.441697165355,2
26364.247048639056,62334.51035094131,26,39303.90644098724,15282.156716103676,33,4794.8767870420315,12122.888791616026,1
26506.405886809043,75514.89904493996,62,25471.350027841418,6452.470851407781,38,1313.3950510500497,35567.63912445033,1
37381.80186635839,30834.52070764001,53,17026.36834071179,27298.314528855488,22,1805.4545818388704,7091.679596243455,2
57228.07884690141,54076.713833157766,60,14891.240697043551,25905.234712371424,11,4488.223130282036,36100.97481530033,0
48875.05167779042,74929.29785528251,37,10918.322011237007,27868.422446753822,33,4836.448882390927,16517.582281125477,0
36210.62261782377,22036.75871514793,35,43570.8301935327,11730.846361176962,35,2272.851603896616,16010.567169492328,1
65066.76052501415,61845.21603481039,60,30890.99314632002,15347.908956436984,29,1672.8855236403992,22923.100184453237,0
22554.447458683768,37840.94044235305,38,8437.32252461552,26686.55744307228,42,2677.860664932556,37924.15657031311,2
36293.018368169636,75463.77172259183,21,22216.114560678594,25986.964896097248,18,3470.0691111921005,6672.347763849188,2
42972.56589643225,78263.49470992206,50,21548.014286229944,22721.560827399375,12,1440.025125337401,17328.084127476086,1
51046.298579533235,76655.98934680603,44,13178.263581925834,17264.46375035691,31,3708.7185556334566,34980.01960391675,1
80665.83652537123,48452.85299944783,24,24597.843146248582,36952.58516711414,6,353.1210498617411,18861.906710241336,1
27970.640394252376,71722.55905935881,23,19944.471442691138,16891.958480459532,21,341.5430145456406,11970.491415897344,0
56281.09945722504,70672.96391210423,32,20381.166747148214,20946.670475303807,41,1992.8097552131717,19867.79634659941,2
63317.311197583826,39146.02839459534,35,38256.19510045814,28733.984083397307,18,1832.018641097531,18494.337552208424,2
14180.537144799795,69734.92844904064,49,15046.852347733833,24005.750080336744,29,1646.602755299046,37039.56705133462,2
64679.036671129455,22220.45808292956,28,33883.69814849099,17141.009172753496,34,2505.996837077659,31667.703151008398,1
25347.171131856237,55776.19270892318,37,30679.23307464207,20247.567665977844,33,1671.594553326699,22679.044451040223,2
15854.643368675155,33800.53023726218,41,30564.163055204026,32806.82862487271,24,1042.0638004936504,39592.96983525499,0
95399.6983528,27234.013146636727,32,34835.330576379914,14734.520442031435,25,1616.4007905341446,21284.713594657318,0
96906.88297671035,24617.19209775255,24,29677.191628804427,9978.93339218854,26,4877.030936770151,7038.324078709633,2
82755.7613304815,61777.326552688384,38,44566.480168087306,15960.712064042198,39,2114.455743274758,14179.601263524472,1
37415.23922560336,40392.49782608397,59,35401.10413776169,34733.697542076545,41,2279.092606605845,20262.46680767594,2
18790.49026057455,63486.00629172569,43,29613.346311712467,8114.640019972133,20,2925.070450760586,10491.591845114202,0
71580.97238609413,23921.380447936543,61,42339.34041294402,39709.36256803582,47,4918.3697652297105,38164.7794213415,0
49613.724436564116,38917.42026983662,31,32276.595422006587,23935.10146246819,21,1283.8462545352388,31839.71142362206,0
20983.441136030095,52369.47754252023,54,18101.491150333055,39469.60103884829,20,3438.282341608926,14390.052014972043,2
